student_id,mid(30)
11163013,23.0
11173025,21.5
11213011,24.5
11213024,24.0
11213104,20.0
11221098,29.0
11221108,27.5
11221130,27.5
11221170,24.5
11221302,23.5
11221370,16.0
11221500,23.5
112230146,22.0
112230456,23.0
112230551,23.5
112230675,21.5
112230730,19.5
112310046,24.5
112310173,21.5
112310315,20.0
112310385,26.5
112310406,21.5
112310481,26.0
112310501,23.5
112310515,26.0
112310521,22.5
112310523,27.0
112310528,23.5
112310566,25.5
112310604,17.0
112330116,25.0
112330126,21.5
112330256,27.5
112330265,28.0
112330267,27.0
112330292,18.0
112330403,27.5
112330479,27.5
112330498,22.0
112330686,23.5
112330798,26.5
112330801,28.5
112330849,22.5
112330891,23.0
112330928,23.0
112330943,25.5
112330961,17.5
112331096,23.5
112331120,27.5
112410405,25.5
